中国/吉林/电信/CN/22/TEL/24;;180.163.26.39/132
中国/宁夏/电信/CN/64/TEL/24;;180.163.26.39/4
中国/河南/联通/CN/41/UNI/24;;180.163.26.39/91
中国/福建/电信/CN/35/TEL/24;https.qq.com.;183.3.226.35/19529
中国/北京/联通/CN/11/UNI/24;https.qq.com.;182.254.50.164/213
中国/江西/电信/CN/36/TEL/24;https.qq.com.;121.51.142.21/242
中国/甘肃/移动/CN/62/MOB/24;;111.30.132.101/411
中国/广东/移动/CN/44/MOB/24;https.qq.com.;183.3.226.35/34
中国/河北/联通/CN/13/UNI/24;;180.163.26.39/133
中国/河南/电信/CN/41/TEL/24;;180.163.26.39/4
中国//联通/CN//UNI/24;https.qq.com.;58.250.137.36/5
中国/江西/联通/CN/36/UNI/24;https.qq.com.;58.250.137.36/1
中国/新疆/电信/CN/65/TEL/24;https.qq.com.;183.3.226.35/34
中国/湖北/移动/CN/42/MOB/24;https.qq.com.;121.51.142.21/2152
中国/辽宁/移动/CN/21/MOB/24;;111.30.132.101/1451
中国/浙江/电信/CN/33/TEL/24;;180.163.26.39/6
中国/山西/联通/CN/14/UNI/24;https.qq.com.;125.39.52.26/11271
中国/青海/电信/CN/63/TEL/24;https.qq.com.;123.151.137.18/1764
中国/北京/联通/CN/11/UNI/24;https.qq.com.;58.250.137.36/16
中国/湖南/电信/CN/43/TEL/24;https.qq.com.;183.3.226.35/25407
中国/吉林/联通/CN/22/UNI/24;;180.163.26.39/64
中国/河南/联通/CN/41/UNI/24;https.qq.com.;123.151.137.18/60
中国/北京/移动/CN/11/MOB/24;https.qq.com.;121.51.36.46/7317
中国/青海/联通/CN/63/UNI/24;;180.163.26.39/4
中国/安徽/电信/CN/34/TEL/24;;180.163.26.39/5
中国/内蒙古/电信/CN/15/TEL/24;https.qq.com.;61.129.7.47/96
中国/山西/移动/CN/14/MOB/24;https.qq.com.;111.30.144.71/2
中国/山西/联通/CN/14/UNI/24;https.qq.com.;58.247.214.47/1
中国/河南/移动/CN/41/MOB/24;https.qq.com.;121.51.36.46/4
中国/重庆/电信/CN/50/TEL/24;https.qq.com.;123.151.137.18/17
中国/上海/联通/CN/31/UNI/24;https.qq.com.;125.39.52.26/53
中国/河北/联通/CN/13/UNI/24;https.qq.com.;123.151.137.18/145
中国/江苏/联通/CN/32/UNI/24;https.qq.com.;58.247.214.47/7001
中国/重庆/移动/CN/50/MOB/24;https.qq.com.;121.51.142.21/1889
中国/海南/联通/CN/46/UNI/24;https.qq.com.;58.250.137.36/1269
中国/青海/联通/CN/63/UNI/24;https.qq.com.;125.39.52.26/416
中国/湖南/联通/CN/43/UNI/24;https.qq.com.;58.250.137.36/2226
中国/陕西/移动/CN/61/MOB/24;https.qq.com.;121.51.142.21/528
中国/内蒙古/电信/CN/15/TEL/24;;180.163.26.39/4
中国/四川/联通/CN/51/UNI/24;https.qq.com.;182.254.50.164/4
中国/浙江/电信/CN/33/TEL/24;https.qq.com.;123.151.137.18/296
中国/江苏/联通/CN/32/UNI/24;https.qq.com.;61.129.7.47/127
中国/上海/电信/CN/31/TEL/24;https.qq.com.;61.129.7.47/33186
中国/江西/电信/CN/36/TEL/24;https.qq.com.;123.151.137.18/1
中国/浙江/移动/CN/33/MOB/24;https.qq.com.;121.51.36.46/11444
中国//电信/CN//TEL/24;https.qq.com.;123.151.137.18/7
中国/广东/联通/CN/44/UNI/24;;180.163.26.39/681
中国/天津/联通/CN/12/UNI/24;https.qq.com.;58.250.137.36/1
中国/贵州/联通/CN/52/UNI/24;https.qq.com.;125.39.52.26/2
中国/辽宁/联通/CN/21/UNI/24;https.qq.com.;125.39.52.26/26895
中国/湖北/移动/CN/42/MOB/24;;111.30.132.101/136
中国/广东/电信/CN/44/TEL/24;https.qq.com.;183.3.226.35/80785
中国/上海/联通/CN/31/UNI/24;https.qq.com.;61.129.7.47/69
